2023-03-01 22:30:46: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:30:47: WorkerThreads: 970, CompletionPortThreads: 1000
2023-03-01 22:30:48: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:30:49: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:30:50: WorkerThreads: 964, CompletionPortThreads: 1000
2023-03-01 22:30:51: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:52: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:53: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:54: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:30:55: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:56: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:30:57: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:58: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:30:59: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:00: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:31:01: WorkerThreads: 984, CompletionPortThreads: 1000
2023-03-01 22:31:02: WorkerThreads: 975, CompletionPortThreads: 1000
2023-03-01 22:31:03: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:31:04: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:05: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:31:06: WorkerThreads: 954, CompletionPortThreads: 1000
2023-03-01 22:31:07: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:08: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:31:09: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:31:10: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:31:11: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:12: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:31:13: WorkerThreads: 991, CompletionPortThreads: 1000
2023-03-01 22:31:14: WorkerThreads: 983, CompletionPortThreads: 1000
2023-03-01 22:31:15: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:16: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:31:17: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:18: WorkerThreads: 986, CompletionPortThreads: 1000
2023-03-01 22:31:19: WorkerThreads: 989, CompletionPortThreads: 1000
2023-03-01 22:31:20: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:31:21: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:31:22: WorkerThreads: 990, CompletionPortThreads: 1000
2023-03-01 22:31:23: WorkerThreads: 986, CompletionPortThreads: 1000
2023-03-01 22:31:24: WorkerThreads: 986, CompletionPortThreads: 1000
2023-03-01 22:31:25: WorkerThreads: 972, CompletionPortThreads: 1000
2023-03-01 22:31:26: WorkerThreads: 964, CompletionPortThreads: 1000
2023-03-01 22:31:27: WorkerThreads: 992, CompletionPortThreads: 1000
2023-03-01 22:31:28: WorkerThreads: 987, CompletionPortThreads: 1000
2023-03-01 22:31:29: WorkerThreads: 981, CompletionPortThreads: 1000
2023-03-01 22:31:30: WorkerThreads: 988, CompletionPortThreads: 1000
2023-03-01 22:31:31: WorkerThreads: 964, CompletionPortThreads: 1000
2023-03-01 22:31:33: WorkerThreads: 986, CompletionPortThreads: 1000
2023-03-01 22:31:34: WorkerThreads: 991, CompletionPortThreads: 1000
